== CamProbeV2RegionFull（OP-002 区域全 dump）==
time: 2026-09-06 00:26:33
件: C:\Users\21505\Code\nx-vibe-v2\samples\v2.rebuilt-20260906-000810.prt
打开 OK: v2.rebuilt-20260906-000810  camSession=True
== OP-002 存档: time=28.3736 length=39849.6843
regions=118  质心数=118 面积数=118
== 逐区（质心 x,y,z | 面积 | z 分层注记）==
    -- z 变层: 81.8771 层区数=1 --
  区[91] x=74.9997 y=38.9777 z=81.678 | 面积=1410.68
    -- z 变层: 81.678 层区数=1 --
  区[92] x=74.9997 y=38.9777 z=81.4788 | 面积=1410.68
    -- z 变层: 81.4788 层区数=1 --
  区[93] x=74.9997 y=38.9777 z=81.2797 | 面积=1410.68
    -- z 变层: 81.2797 层区数=1 --
  区[94] x=74.9997 y=38.9777 z=81.0805 | 面积=1410.68
    -- z 变层: 81.0805 层区数=1 --
  区[95] x=74.9997 y=38.9777 z=80.8814 | 面积=1410.68
    -- z 变层: 80.8814 层区数=1 --
  区[96] x=74.9997 y=38.9777 z=80.6822 | 面积=1410.68
    -- z 变层: 80.6822 层区数=1 --
  区[97] x=74.9997 y=38.9777 z=80.4831 | 面积=1410.68
    -- z 变层: 80.4831 层区数=1 --
  区[98] x=74.9997 y=38.9777 z=80.2839 | 面积=1410.68
    -- z 变层: 80.2839 层区数=1 --
  区[99] x=74.9997 y=38.9777 z=80.0847 | 面积=1410.68
    -- z 变层: 80.0847 层区数=1 --
  区[100] x=75 y=39.0242 z=79.8856 | 面积=1406.41
    -- z 变层: 79.8856 层区数=1 --
  区[101] x=75 y=39.0242 z=79.6864 | 面积=1406.41
    -- z 变层: 79.6864 层区数=1 --
  区[102] x=75 y=39.0242 z=79.4873 | 面积=1406.41
    -- z 变层: 79.4873 层区数=1 --
  区[103] x=75 y=39.0242 z=79.2881 | 面积=1406.41
    -- z 变层: 79.2881 层区数=1 --
  区[104] x=75 y=39.0242 z=79.089 | 面积=1406.41
    -- z 变层: 79.089 层区数=1 --
  区[105] x=75 y=39.0242 z=78.8898 | 面积=1406.41
    -- z 变层: 78.8898 层区数=1 --
  区[106] x=75 y=39.0242 z=78.6907 | 面积=1406.41
    -- z 变层: 78.6907 层区数=1 --
  区[107] x=75 y=39.0242 z=78.4915 | 面积=1406.41
    -- z 变层: 78.4915 层区数=1 --
  区[108] x=75 y=39.0242 z=78.2924 | 面积=1406.41
    -- z 变层: 78.2924 层区数=1 --
